Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,player_name,player_country,batsman_batting_style,batsman_playing_role
Tests,28,44,8,1423,115*,39.52,2737,51.99,2,8,164,7,70,3,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
ODIs,74,67,15,2088,131*,40.15,2325,89.8,3,13,180,21,76,3,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
T20Is,85,73,16,2797,104*,49.07,2197,127.3,1,25,243,74,43,11,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
FC,113,172,29,6188,224,43.27,11568,53.49,13,31,742,20,309,18,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
List A,173,159,41,5721,141*,48.48,6378,89.69,12,31,499,63,169,19,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
T20s,238,208,50,6945,110*,43.95,5466,127.05,2,59,624,180,154,45,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter
Tests,50,90,9,3807,196,47.0,6927,54.95,9,26,444,23,37,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
ODIs,117,114,13,5729,158,56.72,6455,88.75,19,32,520,60,50,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
T20Is,104,98,14,3485,122,41.48,2714,128.4,3,30,371,53,42,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
FC,87,145,14,5859,266,44.72,10507,55.76,12,38,718,35,59,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
List A,181,177,20,8645,158,55.06,9962,86.77,29,50,811,74,77,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
T20s,268,258,41,9462,122,43.6,7347,128.78,10,77,994,173,122,0,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter
ODIs,6,5,1,30,17*,7.5,35,85.71,0,0,2,1,5,2,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper
T20Is,9,9,0,126,31,14.0,99,127.27,0,0,9,8,5,0,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper
FC,5,6,0,127,52,21.16,221,57.46,0,1,13,2,19,2,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper
List A,42,38,4,1017,100,29.91,944,107.73,1,7,104,22,41,6,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper
T20s,66,64,2,1516,85,24.45,1034,146.61,0,9,147,76,48,3,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper
Tests,31,58,0,1629,156,28.08,3379,48.2,4,7,164,15,21,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
ODIs,9,9,0,163,50,18.11,234,69.65,0,1,19,0,2,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
T20Is,19,17,4,395,65*,30.38,324,121.91,0,3,30,7,5,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
FC,161,277,13,10529,239,39.88,19719,53.39,25,47,1236,49,95,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
List A,119,117,18,5384,182*,54.38,6453,83.43,15,32,546,24,30,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
T20s,158,152,11,3816,103*,27.06,3039,125.56,1,25,421,58,60,0,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat
Tests,4,6,1,61,27,12.2,143,42.65,0,0,5,0,2,0,Iftikhar Ahmed Career Stats,Pakistan,Right hand Bat,Middle order Batter
ODIs,28,24,8,614,109*,38.37,576,106.59,1,1,52,20,17,0,Iftikhar Ahmed Career Stats,Pakistan,Right hand Bat,Middle order Batter
