Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
Tests,28,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
ODIs,74,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
T20Is,85,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
FC,113,12,237,136,4,2/10,2/10,34.00,3.44,59.2,0,0,0,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
List A,173,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
T20s,238,1,12,22,1,1/22,1/22,22.00,11.00,12.0,0,0,0,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
Tests,50,8,90,42,2,1/1,1/2,21.00,2.80,45.0,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
ODIs,117,-,-,-,-,-,-,-,-,-,-,-,-,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
T20Is,104,-,-,-,-,-,-,-,-,-,-,-,-,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
FC,87,28,816,466,7,1/1,1/2,66.57,3.42,116.5,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
List A,181,29,633,555,12,2/20,2/20,46.25,5.26,52.7,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
T20s,268,5,78,85,4,2/20,2/20,21.25,6.53,19.5,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
ODIs,6,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
FC,5,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
List A,42,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
T20s,66,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
Tests,31,10,144,92,2,1/6,1/6,46.00,3.83,72.0,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
ODIs,9,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
T20Is,19,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
FC,161,37,875,607,8,2/52,2/52,75.87,4.16,109.3,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
List A,119,2,24,17,2,2/0,2/0,8.50,4.25,12.0,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
T20s,158,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
Tests,4,5,206,161,1,1/1,1/13,161.0,4.68,206.0,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
ODIs,28,22,796,742,16,5/40,5/40,46.37,5.59,49.7,0,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
T20Is,49,18,223,260,4,1/7,1/7,65.0,6.99,55.7,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
FC,75,96,5090,2250,76,6/39,7/44,29.6,2.65,66.9,0,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
List A,121,94,3216,2970,58,5/40,5/40,51.2,5.54,55.4,1,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
T20s,237,119,1528,1831,64,3/5,3/5,28.6,7.18,23.8,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
Tests,6,11,954,513,14,3/31,4/80,36.64,3.22,68.1,0,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
ODIs,70,67,3388,2960,85,4/27,4/27,34.82,5.24,39.8,5,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
T20Is,92,88,1951,2301,104,4/8,4/8,22.12,7.07,18.7,3,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
FC,17,29,3077,1753,68,6/77,10/157,25.77,3.41,45.2,6,2,1,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
List A,85,82,4102,3631,108,4/27,4/27,33.62,5.31,37.9,6,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
T20s,262,253,5539,6846,292,5/28,5/28,23.44,7.41,18.9,8,1,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
Tests,6,12,959,496,16,5/88,6/106,31.0,3.1,59.9,0,1,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
