,player_name,player_country,batsman_batting_style,batsman_playing_role_x,batsman_bowling_style,batsman_playing_role_y
0,Mohammad Rizwan Career Stats,Pakistan,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
36,Babar Azam Career Stats,Pakistan,Right hand Bat,Batter,Right arm Offbreak,Batter
72,Mohammad Haris Career Stats,Pakistan,Right hand Bat,Occasional Wicketkeeper,Right arm Offbreak,Occasional Wicketkeeper
97,Shan Masood Career Stats,Pakistan,Shaan Masood,Left hand Bat,Shaani,Left hand Bat
133,Iftikhar Ahmed Career Stats,Pakistan,Right hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
169,Shadab Khan Career Stats,Pakistan,Right hand Bat,Allrounder,Legbreak,Allrounder
205,Mohammad Nawaz Career Stats,Pakistan,Left hand Bat,Allrounder,Slow Left arm Orthodox,Allrounder
241,Mohammad Wasim Career Stats,Pakistan,Right hand Bat,Bowling Allrounder,Right arm Fast medium,Bowling Allrounder
277,Shaheen Shah Afridi Career Stats,Pakistan,Left hand Bat,Bowler,Left arm Fast,Bowler
313,Haris Rauf Career Stats,Pakistan,Right hand Bat,Bowler,Right arm Fast,Bowler
349,KL Rahul Career Stats,India,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
385,Rohit Sharma Career Stats,India,Right hand Bat,Top order Batter,Right arm Offbreak,Top order Batter
421,Virat Kohli Career Stats,India,Right hand Bat,Top order Batter,Right arm Medium,Top order Batter
457,Suryakumar Yadav Career Stats,India,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak",Batter
493,Hardik Pandya Career Stats,India,Right hand Bat,Allrounder,Right arm Medium fast,Allrounder
529,Rishabh Pant Career Stats,India,Left hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
565,Ravichandran Ashwin Career Stats,India,Right hand Bat,Bowling Allrounder,Right arm Offbreak,Bowling Allrounder
601,Finn Allen Career Stats,Zealand,Right hand Bat,Top order Batter,Occasional Wicketkeeper,Top order Batter
626,Devon Conway Career Stats,Zealand,Left hand Bat,Occasional Wicketkeeper,Right arm Medium,Occasional Wicketkeeper
662,Kane Williamson Career Stats,Zealand,Right hand Bat,Top order Batter,Right arm Offbreak,Top order Batter
698,Glenn Phillips Career Stats,Zealand,Right hand Bat,Wicketkeeper,Right arm Offbreak,Wicketkeeper
734,Daryl Mitchell Career Stats,Zealand,Moose,Right arm Medium,Right hand Bat,Right arm Medium
770,James Neesham Career Stats,Zealand,Jimmy Neesham,Right arm Medium fast,Left hand Bat,Right arm Medium fast
806,Axar Patel Career Stats,India,Akshar Patel,Slow Left arm Orthodox,Left hand Bat,Slow Left arm Orthodox
842,Najmul Hossain Shanto Career Stats,Bangladesh,Left hand Bat,Top order Batter,Right arm Offbreak,Top order Batter
878,Litton Das Career Stats,Bangladesh,Right hand Bat,Wicketkeeper,Right arm Offbreak,Wicketkeeper
914,Soumya Sarkar Career Stats,Bangladesh,Left hand Bat,Middle order Batter,Right arm Medium fast,Middle order Batter
950,Shakib Al Hasan Career Stats,Bangladesh,Saqibul Hasan,Slow Left arm Orthodox,Left hand Bat,Slow Left arm Orthodox
986,Afif Hossain Career Stats,Bangladesh,Dhrubo,Right arm Offbreak,Left hand Bat,Right arm Offbreak
1011,Mosaddek Hossain Career Stats,Bangladesh,Saikat,Right arm Offbreak,Right hand Bat,Right arm Offbreak
1047,Nurul Hasan Career Stats,Bangladesh,Sohan,Wicketkeeper,Right hand Bat,Wicketkeeper
1083,Taskin Ahmed Career Stats,Bangladesh,Tazin,Right arm Fast,Left hand Bat,Right arm Fast
1119,Nasum Ahmed Career Stats,Bangladesh,Left hand Bat,Bowler,Slow Left arm Orthodox,Bowler
1144,Mustafizur Rahman Career Stats,Bangladesh,Left hand Bat,Bowler,Left arm Fast medium,Bowler
1180,Stephan Myburgh Career Stats,Netherlands,Left hand Bat,Opening Batter,Right arm Offbreak,Opening Batter
1205,Max O'Dowd Career Stats,Netherlands,Right hand Bat,Opening Batter,Right arm Offbreak,Opening Batter
1230,Tom Cooper Career Stats,Netherlands,Coops,Right arm Offbreak,Right hand Bat,Right arm Offbreak
1255,Colin Ackermann Career Stats,Netherlands,Ackers,Right arm Offbreak,Right hand Bat,Right arm Offbreak
1280,Bas de Leede Career Stats,Netherlands,Right hand Bat,Batting Allrounder,Right arm Fast medium,Batting Allrounder
1305,Scott Edwards Career Stats,Netherlands,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
1330,Pathum Nissanka Career Stats,Lanka,Right hand Bat,"Isipathana College, Colombo",Top order Batter,"Isipathana College, Colombo"
1366,Kusal Mendis Career Stats,Lanka,Right hand Bat,Wicketkeeper,Legbreak,Wicketkeeper
1402,Dhananjaya de Silva Career Stats,Lanka,Right hand Bat,Allrounder,Right arm Offbreak,Allrounder
1438,Charith Asalanka Career Stats,Lanka,Left hand Bat,Batting Allrounder,Right arm Offbreak,Batting Allrounder
1474,Bhanuka Rajapaksa Career Stats,Lanka,Left hand Bat,Top order Batter,Right arm Medium,Top order Batter
1499,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder,Right arm Medium,Allrounder
1535,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder,Legbreak,Allrounder
1571,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder,Right arm Medium fast,Bowling Allrounder
1607,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler,Right arm Offbreak,Bowler
1643,David Warner Career Stats,Australia,Lloyd,Legbreak,Left hand Bat,Legbreak
1679,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder,Right arm Fast medium,Batting Allrounder
1715,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder,Right arm Medium,Allrounder
1751,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly,Right hand Bat,Legbreak Googly
1787,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder,Right arm Medium,Batting Allrounder
1812,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder,Right arm Offbreak,Batting Allrounder
1848,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium,Left hand Bat,Right arm Medium
1884,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast,Right hand Bat,Right arm Fast
1920,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler,Right arm Fast medium,Bowler
1945,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler,Legbreak Googly,Bowler
1970,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,Bowling Allrounder
2006,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler,Right arm Medium fast,Bowler
2042,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler,Right arm Fast,Bowler
2078,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak,Right hand Bat,Right arm Offbreak
2114,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder,Right arm Offbreak,Allrounder
2150,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
2186,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper,Right arm Offbreak,Wicketkeeper
2222,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter,Slow Left arm Orthodox,Middle order Batter
2258,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder,Right arm Offbreak,Batting Allrounder
2294,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter,Slow Left arm Orthodox,Top order Batter
2330,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter,Legbreak,Middle order Batter
2366,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder,Right arm Fast medium,Allrounder
2402,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler,Left arm Fast medium,Bowler
2438,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler,Right arm Fast medium,Bowler
2474,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler,Right arm Fast medium,Bowler
2510,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
2546,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper,Right arm Medium,Occasional Wicketkeeper
2582,Moeen Ali Career Stats,England,Moe,Right arm Offbreak,Left hand Bat,Right arm Offbreak
2618,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder,"Right arm Offbreak, Legbreak",Batting Allrounder
2654,Harry Brook Career Stats,England,Right hand Bat,Batter,Right arm Medium,Batter
2690,Ben Stokes Career Stats,England,Left hand Bat,Allrounder,Right arm Fast medium,Allrounder
2726,Sam Curran Career Stats,England,Left hand Bat,Allrounder,Left arm Medium fast,Allrounder
2762,Dawid Malan Career Stats,England,AC,Legbreak,Left hand Bat,Legbreak
2798,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
2823,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable,Opening Batter,NotAvailable
2848,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter,Right arm Medium fast,Opening Batter
2884,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
