index,batting_position,BATTING,dismissal,R,B,M,4s,6s,SR,teams_country,teams_playing,match_id
0,1,Mohammad Rizwan,out,15,14,24,0,1,107.14,Pakistan,Pakistan vs England,T20I # 1879
1,2,Babar Azam(c),out,32,28,58,2,0,114.28,Pakistan,Pakistan vs England,T20I # 1879
2,3,Mohammad Haris,out,8,12,15,1,0,66.66,Pakistan,Pakistan vs England,T20I # 1879
3,4,Shan Masood,out,38,28,46,2,1,135.71,Pakistan,Pakistan vs England,T20I # 1879
4,5,Iftikhar Ahmed,out,0,6,8,0,0,0,Pakistan,Pakistan vs England,T20I # 1879
5,6,Shadab Khan,out,20,14,26,2,0,142.85,Pakistan,Pakistan vs England,T20I # 1879
6,7,Mohammad Nawaz,out,5,7,11,0,0,71.42,Pakistan,Pakistan vs England,T20I # 1879
7,8,Mohammad Wasim,out,4,8,12,0,0,50,Pakistan,Pakistan vs England,T20I # 1879
8,9,Shaheen Shah Afridi,not out ,5,3,8,1,0,166.66,Pakistan,Pakistan vs England,T20I # 1879
9,10,Haris Rauf,not out ,1,1,3,0,0,100,Pakistan,Pakistan vs England,T20I # 1879
10,1,KL Rahul,out,5,5,8,1,0,100,India,India vs England,T20I # 1878
11,2,Rohit Sharma(c),out,27,28,37,4,0,96.42,India,India vs England,T20I # 1878
12,3,Virat Kohli,out,50,40,75,4,1,125,India,India vs England,T20I # 1878
13,4,Suryakumar Yadav,out,14,10,14,1,1,140,India,India vs England,T20I # 1878
14,5,Hardik Pandya,out,63,33,47,4,5,190.9,India,India vs England,T20I # 1878
15,6,Rishabh Pant,out,6,4,13,1,0,150,India,India vs England,T20I # 1878
16,7,Ravichandran Ashwin,not out ,0,0,4,0,0,-,India,India vs England,T20I # 1878
17,1,Finn Allen,out,4,3,6,1,0,133.33,New Zealand,New Zealand vs Pakistan,T20I # 1877
18,2,Devon Conway,out,21,20,35,3,0,105,New Zealand,New Zealand vs Pakistan,T20I # 1877
19,3,Kane Williamson(c),out,46,42,81,1,1,109.52,New Zealand,New Zealand vs Pakistan,T20I # 1877
20,4,Glenn Phillips,out,6,8,9,1,0,75,New Zealand,New Zealand vs Pakistan,T20I # 1877
21,5,Daryl Mitchell,not out ,53,35,60,3,1,151.42,New Zealand,New Zealand vs Pakistan,T20I # 1877
22,6,James Neesham,not out ,16,12,19,1,0,133.33,New Zealand,New Zealand vs Pakistan,T20I # 1877
23,1,KL Rahul,out,51,35,59,3,3,145.71,India,India vs Zimbabwe,T20I # 1873
24,2,Rohit Sharma(c),out,15,13,20,2,0,115.38,India,India vs Zimbabwe,T20I # 1873
25,3,Virat Kohli,out,26,25,36,2,0,104,India,India vs Zimbabwe,T20I # 1873
26,4,Suryakumar Yadav,not out ,61,25,44,6,4,244,India,India vs Zimbabwe,T20I # 1873
27,5,Rishabh Pant,out,3,5,7,0,0,60,India,India vs Zimbabwe,T20I # 1873
28,6,Hardik Pandya,out,18,18,29,2,0,100,India,India vs Zimbabwe,T20I # 1873
29,7,Axar Patel,not out ,0,0,6,0,0,-,India,India vs Zimbabwe,T20I # 1873
30,1,Najmul Hossain Shanto,out,54,48,66,7,0,112.5,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
31,2,Litton Das,out,10,8,15,0,1,125,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
