index,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,teams_playing,match_id
0,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,Pakistan vs England,T20I # 1879
1,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,Pakistan vs England,T20I # 1879
2,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,Pakistan vs England,T20I # 1879
3,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,Pakistan vs England,T20I # 1879
4,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,Pakistan vs England,T20I # 1879
5,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,Pakistan vs England,T20I # 1879
6,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,India vs England,T20I # 1878
7,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,India vs England,T20I # 1878
8,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,India vs England,T20I # 1878
9,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,India vs England,T20I # 1878
10,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,India vs England,T20I # 1878
11,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,India vs England,T20I # 1878
12,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,New Zealand vs Pakistan,T20I # 1877
13,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,New Zealand vs Pakistan,T20I # 1877
14,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,New Zealand vs Pakistan,T20I # 1877
15,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,New Zealand vs Pakistan,T20I # 1877
16,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,New Zealand vs Pakistan,T20I # 1877
17,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,New Zealand vs Pakistan,T20I # 1877
18,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1,India vs Zimbabwe,T20I # 1873
19,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0,India vs Zimbabwe,T20I # 1873
